2025-07-20 16:23:25,976 [INFO] fetch_kline.py:81 筛选得到 2087 只股票
2025-07-20 16:23:25,977 [INFO] fetch_kline.py:335 开始抓取 2087 支股票 | 数据源:akshare | 频率:day | 日期:20190101 → 20250720
2025-07-20 16:23:51,095 [WARNING] fetch_kline.py:162 AKShare 拉取 002303 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:51,295 [WARNING] fetch_kline.py:162 AKShare 拉取 002301 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:51,707 [WARNING] fetch_kline.py:162 AKShare 拉取 002304 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:52,013 [WARNING] fetch_kline.py:162 AKShare 拉取 002309 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:52,358 [WARNING] fetch_kline.py:162 AKShare 拉取 002310 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:52,384 [WARNING] fetch_kline.py:162 AKShare 拉取 002303 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:52,443 [WARNING] fetch_kline.py:162 AKShare 拉取 002311 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:52,577 [WARNING] fetch_kline.py:162 AKShare 拉取 002314 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:52,579 [WARNING] fetch_kline.py:162 AKShare 拉取 002312 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:52,610 [WARNING] fetch_kline.py:162 AKShare 拉取 002302 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:52,661 [WARNING] fetch_kline.py:162 AKShare 拉取 002315 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:52,937 [WARNING] fetch_kline.py:162 AKShare 拉取 002317 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:53,158 [WARNING] fetch_kline.py:162 AKShare 拉取 002318 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:53,220 [WARNING] fetch_kline.py:162 AKShare 拉取 002304 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:53,254 [WARNING] fetch_kline.py:162 AKShare 拉取 002320 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:53,396 [WARNING] fetch_kline.py:162 AKShare 拉取 002309 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:53,396 [WARNING] fetch_kline.py:162 AKShare 拉取 002321 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:53,627 [WARNING] fetch_kline.py:162 AKShare 拉取 002324 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-07-20 16:23:53,725 [WARNING] fetch_kline.py:162 AKShare 拉取 002326 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
